Geography,Time arriving a,Main mode of co,Total - Commuting duration
0156.07 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0156.07 - Victoria,Total - Time arriving at work,    Public transit,0.0
0156.07 - Victoria,Total - Time arriving at work,    Active transportation,30.0
0156.07 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0156.08 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",865.0
0156.08 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",130.0
0156.08 - Victoria,Total - Time arriving at work,    Public transit,45.0
0156.08 - Victoria,Total - Time arriving at work,    Active transportation,195.0
0156.08 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0160.04 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",645.0
0160.04 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0160.04 - Victoria,Total - Time arriving at work,    Public transit,25.0
0160.04 - Victoria,Total - Time arriving at work,    Active transportation,85.0
0160.04 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0160.05 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",1465.0
0160.05 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0160.05 - Victoria,Total - Time arriving at work,    Public transit,75.0
0160.05 - Victoria,Total - Time arriving at work,    Active transportation,80.0
0160.05 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0160.06 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",215.0
0160.06 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",100.0
0160.06 - Victoria,Total - Time arriving at work,    Public transit,0.0
0160.06 - Victoria,Total - Time arriving at work,    Active transportation,35.0
0160.06 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0160.07 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",2415.0
0160.07 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",185.0
0160.07 - Victoria,Total - Time arriving at work,    Public transit,205.0
0160.07 - Victoria,Total - Time arriving at work,    Active transportation,175.0
0160.07 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",15.0
0160.08 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",150.0
0160.08 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0160.08 - Victoria,Total - Time arriving at work,    Public transit,0.0
0160.08 - Victoria,Total - Time arriving at work,    Active transportation,15.0
0160.08 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0160.09 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",445.0
0160.09 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
0160.09 - Victoria,Total - Time arriving at work,    Public transit,25.0
0160.09 - Victoria,Total - Time arriving at work,    Active transportation,70.0
0160.09 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0170.00 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",2175.0
0170.00 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",205.0
0170.00 - Victoria,Total - Time arriving at work,    Public transit,195.0
0170.00 - Victoria,Total - Time arriving at work,    Active transportation,430.0
0170.00 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0171.00 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",1045.0
0171.00 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0171.00 - Victoria,Total - Time arriving at work,    Public transit,55.0
0171.00 - Victoria,Total - Time arriving at work,    Active transportation,160.0
0171.00 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0180.03 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",40.0
0180.03 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0180.03 - Victoria,Total - Time arriving at work,    Public transit,0.0
0180.03 - Victoria,Total - Time arriving at work,    Active transportation,0.0
0180.03 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0180.04 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",1790.0
0180.04 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0180.04 - Victoria,Total - Time arriving at work,    Public transit,45.0
0180.04 - Victoria,Total - Time arriving at work,    Active transportation,125.0
0180.04 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",30.0
0180.05 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",X
0180.05 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",X
0180.05 - Victoria,Total - Time arriving at work,    Public transit,X
0180.05 - Victoria,Total - Time arriving at work,    Active transportation,X
0180.05 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",X
0180.06 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a driver",1470.0
0180.06 - Victoria,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0180.06 - Victoria,Total - Time arriving at work,    Public transit,20.0
0180.06 - Victoria,Total - Time arriving at work,    Active transportation,115.0
0180.06 - Victoria,Total - Time arriving at work,"  Motorcycle, scooter or moped",15.0
"Windsor (CMA) 559, Ont.",Total - Time arriving at work,"    Car, truck or van - as a driver",100780.0
"Windsor (CMA) 559, Ont.",Total - Time arriving at work,"    Car, truck or van - as a passenger",9135.0
"Windsor (CMA) 559, Ont.",Total - Time arriving at work,    Public transit,2240.0
"Windsor (CMA) 559, Ont.",Total - Time arriving at work,    Active transportation,4160.0
"Windsor (CMA) 559, Ont.",Total - Time arriving at work,"  Motorcycle, scooter or moped",95.0
0001.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1470.0
0001.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",90.0
0001.00 - Windsor,Total - Time arriving at work,    Public transit,45.0
0001.00 - Windsor,Total - Time arriving at work,    Active transportation,55.0
0001.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0002.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",735.0
0002.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0002.02 - Windsor,Total - Time arriving at work,    Public transit,0.0
0002.02 - Windsor,Total - Time arriving at work,    Active transportation,20.0
0002.02 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0002.03 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",85.0
0002.03 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0002.03 - Windsor,Total - Time arriving at work,    Public transit,0.0
0002.03 - Windsor,Total - Time arriving at work,    Active transportation,0.0
0002.03 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0002.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",2415.0
0002.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",300.0
0002.04 - Windsor,Total - Time arriving at work,    Public transit,135.0
0002.04 - Windsor,Total - Time arriving at work,    Active transportation,35.0
0002.04 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",2130.0
0003.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",215.0
0003.01 - Windsor,Total - Time arriving at work,    Public transit,100.0
0003.01 - Windsor,Total - Time arriving at work,    Active transportation,15.0
0003.01 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",4865.0
0003.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",285.0
0003.02 - Windsor,Total - Time arriving at work,    Public transit,70.0
0003.02 - Windsor,Total - Time arriving at work,    Active transportation,60.0
0003.02 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1020.0
0004.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",165.0
0004.00 - Windsor,Total - Time arriving at work,    Public transit,115.0
0004.00 - Windsor,Total - Time arriving at work,    Active transportation,45.0
0004.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",350.0
0005.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0005.00 - Windsor,Total - Time arriving at work,    Public transit,0.0
0005.00 - Windsor,Total - Time arriving at work,    Active transportation,35.0
0005.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0006.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",295.0
0006.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0006.00 - Windsor,Total - Time arriving at work,    Public transit,10.0
0006.00 - Windsor,Total - Time arriving at work,    Active transportation,15.0
0006.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0007.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1320.0
0007.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0007.00 - Windsor,Total - Time arriving at work,    Public transit,20.0
0007.00 - Windsor,Total - Time arriving at work,    Active transportation,45.0
0007.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1310.0
0008.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",90.0
0008.00 - Windsor,Total - Time arriving at work,    Public transit,35.0
0008.00 - Windsor,Total - Time arriving at work,    Active transportation,10.0
0008.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1325.0
0009.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",105.0
0009.00 - Windsor,Total - Time arriving at work,    Public transit,20.0
0009.00 - Windsor,Total - Time arriving at work,    Active transportation,65.0
0009.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0010.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1530.0
0010.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",95.0
0010.00 - Windsor,Total - Time arriving at work,    Public transit,50.0
0010.00 - Windsor,Total - Time arriving at work,    Active transportation,35.0
0010.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0011.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",490.0
0011.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0011.01 - Windsor,Total - Time arriving at work,    Public transit,25.0
0011.01 - Windsor,Total - Time arriving at work,    Active transportation,50.0
0011.01 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",15.0
0011.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",525.0
0011.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0011.02 - Windsor,Total - Time arriving at work,    Public transit,0.0
0011.02 - Windsor,Total - Time arriving at work,    Active transportation,15.0
0011.02 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",2955.0
0012.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",270.0
0012.00 - Windsor,Total - Time arriving at work,    Public transit,40.0
0012.00 - Windsor,Total - Time arriving at work,    Active transportation,80.0
0012.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0013.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",480.0
0013.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0013.00 - Windsor,Total - Time arriving at work,    Public transit,30.0
0013.00 - Windsor,Total - Time arriving at work,    Active transportation,50.0
0013.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0014.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",535.0
0014.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0014.00 - Windsor,Total - Time arriving at work,    Public transit,0.0
0014.00 - Windsor,Total - Time arriving at work,    Active transportation,35.0
0014.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",605.0
0015.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0015.00 - Windsor,Total - Time arriving at work,    Public transit,10.0
0015.00 - Windsor,Total - Time arriving at work,    Active transportation,20.0
0015.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0016.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",2885.0
0016.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",130.0
0016.00 - Windsor,Total - Time arriving at work,    Public transit,20.0
0016.00 - Windsor,Total - Time arriving at work,    Active transportation,120.0
0016.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0017.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1505.0
0017.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",140.0
0017.00 - Windsor,Total - Time arriving at work,    Public transit,30.0
0017.00 - Windsor,Total - Time arriving at work,    Active transportation,35.0
0017.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0018.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",3430.0
0018.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",335.0
0018.02 - Windsor,Total - Time arriving at work,    Public transit,115.0
0018.02 - Windsor,Total - Time arriving at work,    Active transportation,110.0
0018.02 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0018.03 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",280.0
0018.03 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0018.03 - Windsor,Total - Time arriving at work,    Public transit,0.0
0018.03 - Windsor,Total - Time arriving at work,    Active transportation,20.0
0018.03 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0018.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",645.0
0018.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0018.04 - Windsor,Total - Time arriving at work,    Public transit,10.0
0018.04 - Windsor,Total - Time arriving at work,    Active transportation,20.0
0018.04 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0019.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",775.0
0019.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0019.01 - Windsor,Total - Time arriving at work,    Public transit,15.0
0019.01 - Windsor,Total - Time arriving at work,    Active transportation,30.0
0019.01 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0019.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",840.0
0019.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0019.04 - Windsor,Total - Time arriving at work,    Public transit,0.0
0019.04 - Windsor,Total - Time arriving at work,    Active transportation,35.0
0019.04 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0019.05 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",725.0
0019.05 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
0019.05 - Windsor,Total - Time arriving at work,    Public transit,15.0
0019.05 - Windsor,Total - Time arriving at work,    Active transportation,10.0
0019.05 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0019.06 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",445.0
0019.06 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0019.06 - Windsor,Total - Time arriving at work,    Public transit,10.0
0019.06 - Windsor,Total - Time arriving at work,    Active transportation,15.0
0019.06 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0019.07 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",205.0
0019.07 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
0019.07 - Windsor,Total - Time arriving at work,    Public transit,0.0
0019.07 - Windsor,Total - Time arriving at work,    Active transportation,0.0
0019.07 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0020.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1300.0
0020.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",205.0
0020.00 - Windsor,Total - Time arriving at work,    Public transit,170.0
0020.00 - Windsor,Total - Time arriving at work,    Active transportation,115.0
0020.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0021.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",250.0
0021.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0021.00 - Windsor,Total - Time arriving at work,    Public transit,15.0
0021.00 - Windsor,Total - Time arriving at work,    Active transportation,10.0
0021.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0022.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",385.0
0022.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0022.00 - Windsor,Total - Time arriving at work,    Public transit,35.0
0022.00 - Windsor,Total - Time arriving at work,    Active transportation,45.0
0022.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0023.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",785.0
0023.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0023.00 - Windsor,Total - Time arriving at work,    Public transit,30.0
0023.00 - Windsor,Total - Time arriving at work,    Active transportation,30.0
0023.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0024.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",520.0
0024.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0024.00 - Windsor,Total - Time arriving at work,    Public transit,15.0
0024.00 - Windsor,Total - Time arriving at work,    Active transportation,50.0
0024.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0025.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1425.0
0025.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",160.0
0025.00 - Windsor,Total - Time arriving at work,    Public transit,70.0
0025.00 - Windsor,Total - Time arriving at work,    Active transportation,90.0
0025.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0026.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",505.0
0026.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0026.00 - Windsor,Total - Time arriving at work,    Public transit,15.0
0026.00 - Windsor,Total - Time arriving at work,    Active transportation,20.0
0026.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0027.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",515.0
0027.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0027.00 - Windsor,Total - Time arriving at work,    Public transit,10.0
0027.00 - Windsor,Total - Time arriving at work,    Active transportation,15.0
0027.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0028.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",635.0
0028.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0028.00 - Windsor,Total - Time arriving at work,    Public transit,10.0
0028.00 - Windsor,Total - Time arriving at work,    Active transportation,30.0
0028.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0029.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1175.0
0029.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0029.00 - Windsor,Total - Time arriving at work,    Public transit,30.0
0029.00 - Windsor,Total - Time arriving at work,    Active transportation,130.0
0029.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0030.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",230.0
0030.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0030.00 - Windsor,Total - Time arriving at work,    Public transit,30.0
0030.00 - Windsor,Total - Time arriving at work,    Active transportation,35.0
0030.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0031.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",190.0
0031.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0031.00 - Windsor,Total - Time arriving at work,    Public transit,10.0
0031.00 - Windsor,Total - Time arriving at work,    Active transportation,25.0
0031.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0032.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1515.0
0032.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",100.0
0032.00 - Windsor,Total - Time arriving at work,    Public transit,115.0
0032.00 - Windsor,Total - Time arriving at work,    Active transportation,170.0
0032.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0033.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",2700.0
0033.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",155.0
0033.00 - Windsor,Total - Time arriving at work,    Public transit,25.0
0033.00 - Windsor,Total - Time arriving at work,    Active transportation,115.0
0033.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0034.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",245.0
0034.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0034.00 - Windsor,Total - Time arriving at work,    Public transit,15.0
0034.00 - Windsor,Total - Time arriving at work,    Active transportation,80.0
0034.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0035.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",2260.0
0035.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",145.0
0035.00 - Windsor,Total - Time arriving at work,    Public transit,55.0
0035.00 - Windsor,Total - Time arriving at work,    Active transportation,95.0
0035.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0036.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",500.0
0036.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0036.00 - Windsor,Total - Time arriving at work,    Public transit,30.0
0036.00 - Windsor,Total - Time arriving at work,    Active transportation,65.0
0036.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0037.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",505.0
0037.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0037.00 - Windsor,Total - Time arriving at work,    Public transit,35.0
0037.00 - Windsor,Total - Time arriving at work,    Active transportation,50.0
0037.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0038.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",575.0
0038.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0038.00 - Windsor,Total - Time arriving at work,    Public transit,35.0
0038.00 - Windsor,Total - Time arriving at work,    Active transportation,20.0
0038.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0039.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",665.0
0039.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0039.00 - Windsor,Total - Time arriving at work,    Public transit,15.0
0039.00 - Windsor,Total - Time arriving at work,    Active transportation,20.0
0039.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0040.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",525.0
0040.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0040.00 - Windsor,Total - Time arriving at work,    Public transit,35.0
0040.00 - Windsor,Total - Time arriving at work,    Active transportation,40.0
0040.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0041.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",520.0
0041.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0041.00 - Windsor,Total - Time arriving at work,    Public transit,10.0
0041.00 - Windsor,Total - Time arriving at work,    Active transportation,40.0
0041.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0042.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",685.0
0042.00 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0042.00 - Windsor,Total - Time arriving at work,    Public transit,35.0
0042.00 - Windsor,Total - Time arriving at work,    Active transportation,60.0
0042.00 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0043.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",205.0
0043.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0043.01 - Windsor,Total - Time arriving at work,    Public transit,15.0
0043.01 - Windsor,Total - Time arriving at work,    Active transportation,0.0
0043.01 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0043.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",190.0
0043.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0043.02 - Windsor,Total - Time arriving at work,    Public transit,0.0
0043.02 - Windsor,Total - Time arriving at work,    Active transportation,10.0
0043.02 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",205.0
0100.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0100.01 - Windsor,Total - Time arriving at work,    Public transit,0.0
0100.01 - Windsor,Total - Time arriving at work,    Active transportation,10.0
0100.01 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",455.0
0100.02 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0100.02 - Windsor,Total - Time arriving at work,    Public transit,0.0
0100.02 - Windsor,Total - Time arriving at work,    Active transportation,10.0
0100.02 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0101.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",285.0
0101.01 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0101.01 - Windsor,Total - Time arriving at work,    Public transit,15.0
0101.01 - Windsor,Total - Time arriving at work,    Active transportation,0.0
0101.01 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0101.03 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",1455.0
0101.03 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",150.0
0101.03 - Windsor,Total - Time arriving at work,    Public transit,0.0
0101.03 - Windsor,Total - Time arriving at work,    Active transportation,15.0
0101.03 - Windsor,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0101.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a driver",810.0
0101.04 - Windsor,Total - Time arriving at work,"    Car, truck or van - as a passenger",125.0
