Geography,Time arriving a,Main mode of co,Total - Commuting duration
0206.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0206.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",X
0206.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",X
0206.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,X
0206.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,X
0206.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",X
0207.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",245.0
0207.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0207.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0207.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,10.0
0207.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
"Barrie (CMA) 568, Ont.",Total - Time arriving at work,"    Car, truck or van - as a driver",44265.0
"Barrie (CMA) 568, Ont.",Total - Time arriving at work,"    Car, truck or van - as a passenger",4655.0
"Barrie (CMA) 568, Ont.",Total - Time arriving at work,    Public transit,1560.0
"Barrie (CMA) 568, Ont.",Total - Time arriving at work,    Active transportation,2435.0
"Barrie (CMA) 568, Ont.",Total - Time arriving at work,"  Motorcycle, scooter or moped",50.0
0001.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",430.0
0001.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0001.01 - Barrie,Total - Time arriving at work,    Public transit,20.0
0001.01 - Barrie,Total - Time arriving at work,    Active transportation,20.0
0001.01 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0001.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",505.0
0001.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0001.02 - Barrie,Total - Time arriving at work,    Public transit,40.0
0001.02 - Barrie,Total - Time arriving at work,    Active transportation,35.0
0001.02 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0001.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",240.0
0001.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
